,Unnamed: 0.1,Unnamed: 0,league_team1,season,window,team1,country_team1,dir,player_id,player_name,player_age,player_nation,player_pos,team2,country_team2,transfer_value,market_value,is_free,is_loan,is_loan_end,is_retired,transfer_id,league_team2
541,3371,3371,ENG2,2010,w,Leeds United,England,left,61561,Barry Bannan,21,Scotland,midfielder,Aston Villa,England,0.0,3000000.0,False,True,True,False,549971,ENG1
542,3372,3372,ENG2,2010,w,Leicester City,England,left,18227,Curtis Davies,25,England,defender,Aston Villa,England,0.0,4500000.0,False,True,True,False,490749,ENG1
543,3373,3373,ENG1,2010,w,Aston Villa,England,left,18227,Curtis Davies,25,England,defender,Birmingham City,England,4000000.0,4500000.0,False,False,False,False,532754,ENG1
544,3374,3374,ENG1,2010,w,Aston Villa,England,left,13427,Steve Sidwell,28,England,midfielder,Fulham FC,England,600000.0,3500000.0,False,False,False,False,520176,ENG1
545,3375,3375,ENG1,2010,w,Aston Villa,England,left,62642,Nathan Delfouneso,20,England,striker,Burnley FC,England,NF,3500000.0,False,True,False,False,550680,ENG2
546,3376,3376,ENG1,2010,w,Aston Villa,England,left,61561,Barry Bannan,21,Scotland,midfielder,Leeds United,England,0 €,3000000.0,False,True,False,False,549970,ENG2
547,3377,3377,ENG1,2010,w,Aston Villa,England,left,61575,Eric Lichaj,22,United States,defender,Leeds United,England,0 €,1000000.0,False,True,False,False,540271,ENG2
548,3378,3378,ENG1,2010,w,Aston Villa,England,left,96737,Arsenio Halfhuid,19,Netherlands,defender,FC Volendam,Netherlands,0.0,-,False,True,False,False,534499,NET2
549,3379,3379,ENG1,2010,w,Aston Villa,England,left,34838,Stephen Ireland,24,Ireland,midfielder,Newcastle United,England,0.0,13000000.0,False,True,False,False,533955,ENG1
550,3380,3380,ENG1,2010,w,Aston Villa,England,left,45276,Isaiah Osbourne,23,England,midfielder,Sheffield Wednesday,England,0 €,500000.0,False,True,False,False,533799,ENG2
551,3381,3381,ENG1,2010,w,Aston Villa,England,left,61573,Jonathan Hogg,22,England,midfielder,Portsmouth FC,England,NF,-,False,True,False,False,531516,ENG2
552,3382,3382,ENG1,2010,w,Aston Villa,England,left,3570,John Carew,31,Norway,striker,Stoke City,England,0.0,10000000.0,False,True,False,False,528916,ENG1
553,3383,3383,ENG1,2010,w,Aston Villa,England,left,61576,Shane Lowry,21,Australia,defender,Sheffield United,England,0 €,-,False,True,False,False,524126,ENG2
554,3384,3384,ENG1,2010,w,Aston Villa,England,left,39471,Brad Guzan,26,United States,goalkeeper,Hull City,England,0.0,1000000.0,False,True,False,False,516568,ENG2
555,3385,3385,RUS,2010,w,Zenit St. Petersburg,Russia,left,15881,Sergey Kornilenko,27,Belarus,striker,Blackpool FC,England,300000.0,3000000.0,False,True,False,False,535045,ENG1
556,3386,3386,ENG1,2010,w,Sunderland AFC,England,left,10008,Andy Reid,28,Ireland,midfielder,Blackpool FC,England,0.0,5000000.0,True,False,False,False,534366,ENG1
557,3387,3387,FRA2,2010,w,Nîmes Olympique,France,left,22352,Salaheddine Sbaï,25,Morocco,defender,Blackpool FC,England,0.0,200000.0,True,False,False,False,532005,ENG1
558,3388,3388,ENG2,2010,w,Southampton FC,England,left,47995,Jason Puncheon,24,England,midfielder,Blackpool FC,England,NF,450000.0,False,True,False,False,535417,ENG1
559,3389,3389,SCO,2010,w,Rangers FC,Scotland,left,3112,James Beattie,32,England,striker,Blackpool FC,England,NF,2000000.0,False,True,False,False,534650,ENG1
560,3390,3390,ENG2,2010,w,Kettering Town,England,left,99972,Mark Halstead,20,England,goalkeeper,Blackpool FC,England,0.0,50000.0,False,True,True,False,527375,ENG1
561,3391,3391,ENG2,2010,w,Stockport County,England,left,60932,Stephen Husband,20,Scotland,midfielder,Blackpool FC,England,0.0,250000.0,False,True,True,False,519902,ENG1
562,3392,3392,ENG2,2010,w,Stockport County,England,left,42188,Ishmel Demontagnac,22,England,striker,Blackpool FC,England,0.0,250000.0,False,True,True,False,519901,ENG1
563,3393,3393,ENG2,2010,w,Carlisle United,England,left,118265,Ashley Eastham,19,England,defender,Blackpool FC,England,0.0,25000.0,False,True,True,False,504179,ENG1
564,3394,3394,ENG2,2010,w,Barrow AFC,England,left,99972,Mark Halstead,20,England,goalkeeper,Blackpool FC,England,0.0,50000.0,False,True,True,False,611630,ENG1
565,3395,3395,ENG1,2010,w,Blackpool FC,England,left,24476,Dekel Keinan,26,Israel,defender,Cardiff City,England,0.0,1000000.0,True,False,False,False,529447,ENG2
566,3396,3396,ENG1,2010,w,Blackpool FC,England,left,118265,Ashley Eastham,19,England,defender,Carlisle United,England,0.0,25000.0,False,True,False,False,504178,ENG2
567,3397,3397,ENG1,2010,w,Blackpool FC,England,left,99972,Mark Halstead,20,England,goalkeeper,Barrow AFC,England,NF,50000.0,False,True,False,False,611629,ENG2
568,3398,3398,ENG1,2010,w,Blackpool FC,England,left,10011,Marlon Harewood,31,England,striker,Barnsley FC,England,0.0,2000000.0,False,True,False,False,545736,ENG2
569,3399,3399,ENG1,2010,w,Blackpool FC,England,left,4068,Rob Edwards,28,Wales,defender,Norwich City,England,NF,1500000.0,False,True,False,False,543951,ENG2
570,3400,3400,ENG1,2010,w,Blackpool FC,England,left,3092,Jason Euell,33,Jamaica,striker,Doncaster Rovers,England,NF,750000.0,False,True,False,False,542319,ENG2
571,3401,3401,ENG1,2010,w,Blackpool FC,England,left,99972,Mark Halstead,20,England,goalkeeper,Kettering Town,England,0.0,50000.0,False,True,False,False,527374,ENG2
572,3402,3402,ENG1,2010,w,Blackpool FC,England,left,118265,Ashley Eastham,19,England,defender,Cheltenham Town,England,NF,25000.0,False,True,False,False,520127,ENG2
573,3403,3403,ENG1,2010,w,Blackpool FC,England,left,60932,Stephen Husband,20,Scotland,midfielder,Stockport County,England,NF,250000.0,False,True,False,False,519873,ENG2
574,3404,3404,ENG1,2010,w,Blackpool FC,England,left,42188,Ishmel Demontagnac,22,England,striker,Stockport County,England,NF,250000.0,False,True,False,False,519865,ENG2
575,3405,3405,ENG1,2010,w,Blackpool FC,England,left,123336,Louis Almond,18,England,striker,Barrow AFC,England,NF,50000.0,False,True,False,False,518182,ENG2
576,3406,3406,ENG1,2010,w,Blackpool FC,England,left,37898,Danny Coid,29,England,defender,Rotherham United,England,NF,250000.0,False,True,False,False,501621,ENG2
577,3407,3407,SCO,2010,w,Kilmarnock FC,Scotland,left,68331,Conor Sammon,24,Ireland,striker,Wigan Athletic,England,700000.0,300000.0,False,False,False,False,534811,ENG1
578,3408,3408,SPA1,2010,w,Deportivo de La Coruña,Spain,left,44966,Adrián López,23,Spain,defender,Wigan Athletic,England,0.0,500000.0,True,False,False,False,516302,ENG1
579,3409,3409,ENG2,2010,w,Wigan Athletic U18,England,left,129799,Jordan Rugg,19,England,striker,Wigan Athletic,England,0 €,NF,False,False,False,False,703420,ENG1
580,3410,3410,ENG2,2010,w,Leicester City,England,left,3219,Chris Kirkland,29,England,goalkeeper,Wigan Athletic,England,0.0,5500000.0,False,True,True,False,504106,ENG1
581,3411,3411,ENG2,2010,w,Shrewsbury Town,England,left,126258,Lee Nicholls,18,England,goalkeeper,Wigan Athletic,England,0.0,-,False,True,True,False,556470,ENG1
582,3412,3412,ENG2,2010,w,Hartlepool United,England,left,126258,Lee Nicholls,18,England,goalkeeper,Wigan Athletic,England,0.0,-,False,True,True,False,501007,ENG1
