,team1,league_team1,season
1397,Varese Primavera,ITAJ,36
1398,Imolese Calcio 1919,ITA4,36
1399,Santarcangelo Giovanili,ITA4,36
1400,Santarcangelo Calcio,ITA4,36
1401,Union Feltre,ITA4,36
1402,Virtus Entella,ITA2,36
1403,FC Pro Vercelli 1892,ITA3,36
1404,Siena Youth,ITAJ,36
1405,Monopoli Youth,ITAJ,36
1406,SSD Pro Sesto,ITA4,36
1407,AC Mestre,ITA4,36
1408,AC Rinascita Messina,ITA4,36
1409,Asdc Verbania,ITA4,36
1410,Atalanta Under 18,ITAJ,36
1411,Latina Juniores,ITAJ,36
1412,Sporting Club Trestina,ITA4,36
1413,Nocerina Calcio,ITA4,36
1414,Potenza Youth,ITAJ,36
1415,Sacilese Calcio,ITA4,36
1416,Piacenza Calcio 1919,ITA3,36
1417,FC Viareggio Juniores,ITAJ,36
1418,Pordenone Berretti,ITAJ,36
1419,US Agropoli 1921,ITA4,36
1420,Audace Cerignola,ITA4,36
1421,Polisportiva Nuova Campobasso Calcio,ITA4,36
1422,Cittadella Berretti,ITAJ,36
1423,Sorrento Calcio,ITA3,36
1424,US Pianese,ITA4,36
1425,FC Legnago Salus,ITA4,36
1426,Gsd Castelfidardo Calcio,ITA4,36
1427,Ascoli Under 17,ITAJ,36
1428,Salernitana,ITA2,36
1429,AC Delta Porto Tolle,ITA4,42
1430,Varese Youth,ITAJ,42
1431,Ancona Youth,ITAJ,42
1432,Vigor Perconti,ITA4,42
1433,AC Belluno 1905,ITA4,42
1434,US Vibonese,ITA4,42
1435,Bassano Berretti,ITAJ,42
1436,FC Pavia 1911,ITA4,42
1437,Virtus Entella Under 17,ITAJ,42
1438,AC Isola Liri,ITA4,42
1439,AC Cesena,ITA2,42
1440,Cittadella Primavera,ITAJ,42
1441,Cittadella Youth,ITAJ,42
1442,FC Südtirol-Alto Adige,ITA3,42
1443,USD Caravaggio,ITA4,42
1444,US Pergolettese 1932,ITA4,42
1445,US Inveruno,ITA4,42
1446,FC Aprilia,ITA4,42
1447,Benevento Under 17,ITAJ,42
1448,Fidelis Andria Giovanili,ITA4,42
1449,Ascoli,ITA2,42
1450,US Catanzaro Youth,ITAJ,42
1451,FC Ponsacco 1920,ITA4,42
1452,Pistoiese Giovanili,ITA4,42
1453,Calcio Como,ITA3,42
1454,AC Trento,ITA4,42
1455,Torino Under 17,ITAJ,42
1456,Perugia Under 17,ITAJ,42
1457,Pergolettese Youth,ITAJ,42
1458,ASD Calcio Pomigliano,ITA4,42
1459,Pavia Juniores,ITAJ,42
1460,SS Monopoli 1966,ITA3,42
1461,Carpi Primavera,ITAJ,42
1462,Novara Under 17,ITAJ,42
1463,L'Aquila Calcio,ITA4,42
1464,Cesena Under 17,ITAJ,42
1465,AC Sambonifacese,ITA4,42
1466,Lentigione Calcio,ITA4,42
1467,Calcio Catania,ITA3,42
1468,Inter Under 18,ITAJ,42
1469,Padova Youth,ITAJ,42
1470,Roma Under 17,ITAJ,42
1471,Novara Calcio 1908,ITA3,42
1472,Lecco Giovanili,ITA4,42
1473,Casertana FC,ITA3,42
1474,Piacenza Youth,ITAJ,42
1475,Hellas Verona Youth,ITAJ,42
1476,Mezzolara Calcio,ITA4,42
1477,Polisportiva Tamai,ITA4,42
1478,Napoli Under 17,ITAJ,42
1479,Renate Giovanili,ITA4,42
1480,AS Lucchese Libertas,ITA3,42
1481,Renato Curi Angolana,ITA4,42
1482,Sammaurese Calcio,ITA4,42
1483,Cavese 1919,ITA4,42
1484,AC Ponte San Pietro-Isola,ITA4,42
1485,Hellas Verona,ITA1,42
1486,AC Perugia Calcio,ITA2,42
1487,AS Ostiamare Lido Calcio,ITA4,48
1488,CS Scandicci 1908,ITA4,48
1489,Aurora Pro Patria,ITA3,48
1490,Padova Primavera,ITAJ,48
1491,Gubbio Berretti,ITAJ,48
1492,San Donato - Tavarnelle,ITA4,48
1493,ASD Team Altamura,ITA4,48
1494,Salernitana Under 17,ITAJ,48
1495,Savona FBC,ITA4,48
1496,Savona Youth,ITAJ,48
1497,US Sassuolo Youth,ITAJ,48
1498,US Recanatese,ITA4,48
1499,Novara Calcio Youth,ITAJ,48
1500,AS Rom Youth,ITAJ,48
1501,Spezia Calcio,ITA2,48
1502,FC Südtirol - Alto Adige Berretti,ITAJ,48
1503,Vicenza Youth,ITAJ,48
1504,Virtus Castelfranco,ITA4,48
1505,Taranto FC 1927,ITA4,48
1506,Trapani Primavera,ITAJ,48
1507,Empoli FC Youth,ITAJ,48
1508,US Darfo Boario,ITA4,48
1509,US Civitanovese,ITA4,48
1510,Forlì FC,ITA4,48
1511,AC Cuneo 1905,ITA4,48
1512,AS Giana Erminio,ITA3,48
1513,Cagliari Youth,ITAJ,48
1514,AC Pisa 1909,ITA3,48
1515,Benevento Calcio,ITA3,48
1516,Bologna Youth,ITAJ,48
1517,Como Berretti,ITAJ,48
1518,AS Livorno,ITA2,48
1519,Chievo Youth,ITAJ,48
1520,Pontedera Giovanili,ITA4,48
1521,SS Lazio U17,ITA4,48
1522,Calcio Padova,ITA3,48
1523,AC Renate,ITA3,48
1524,Parma Under 17,ITAJ,48
1525,Virtus Lanciano Juniores,ITAJ,48
1526,Taranto Primavera,ITAJ,48
1527,SS Teramo Calcio,ITA3,48
1528,Ternana Calcio,ITA3,48
1529,Ciliverghe Calcio,ITA4,48
1530,AC Prato,ITA4,48
1531,Montebelluna Giovanili,ITA4,48
1532,AS Melfi,ITA4,48
1533,Juve Stabia Primavera,ITAJ,54
1534,San Marino,ITA4,54
1535,Lecce Primavera,ITAJ,54
1536,Avellino Berretti,ITAJ,54
1537,Catania Primavera,ITAJ,54
1538,Modena Youth,ITAJ,54
1539,Delfino Pescara 1936,ITA2,54
1540,Udinese Youth,ITAJ,54
1541,AC Cesena Youth,ITAJ,54
1542,Casarano Calcio,ITA4,54
1543,Empoli FC,ITA2,54
1544,Juventus Youth,ITAJ,54
1545,Rimini FC,ITA4,54
1546,Rimini Berretti,ITAJ,54
1547,Modena FC,ITA2,54
1548,UC Sampdoria Youth,ITAJ,54
1549,Parma FC Youth,ITAJ,54
1550,US Fiorenzuola 1922,ITA4,54
1551,Pescara Under 17,ITAJ,54
1552,Palermo,ITA1,54
1553,Paganese Berretti,ITAJ,54
1554,AC Mezzocorona,ITA4,54
1555,1913 Seregno Calcio,ITA4,54
1556,AC Bra,ITA4,54
1557,Cremonese Berretti,ITAJ,54
1558,US Città di Pontedera,ITA3,54
1559,Correggese Calcio 1948,ITA4,54
1560,Calcio Lecco 1912,ITA4,54
1561,Olympia Agnonese,ITA4,54
1562,Spezia Under 17,ITAJ,54
1563,US Alessandria Calcio 1912,ITA3,54
1564,Vicenza Calcio,ITA2,54
1565,AC Lumezzane,ITA3,54
1566,Vigor Lamezia Calcio,ITA4,54
1567,Reggiana Berretti,ITAJ,54
1568,FC Rieti,ITA4,54
1569,US Gavorrano,ITA4,54
1570,US Sassuolo,ITA1,54
1571,Fiorentina Youth,ITAJ,54
1572,Siena Juniores,ITAJ,54
1573,Novara Primavera,ITAJ,54
1574,UC AlbinoLeffe,ITA3,60
1575,US Cremonese,ITA3,60
1576,SF Aversa Normanna,ITA4,60
1577,Fiorentina Under 17,ITAJ,60
1578,AS Gubbio 1910,ITA3,60
1579,SC Caronnese,ITA4,60
1580,USD Sestri Levante 1919,ITA4,60
1581,Frosinone Calcio,ITA2,60
1582,SS Juve Stabia,ITA3,60
1583,Ternana Berretti,ITAJ,60
1584,AC Bellaria Igea Marina,ITA4,60
1585,Reggina Primavera,ITAJ,60
1586,Brescia Youth,ITAJ,60
1587,ASD Manfredonia Calcio,ITA4,60
1588,AC Lumezzane Berretti,ITAJ,60
1589,Hellas Under 17,ITAJ,60
1590,US Pistoiese 1921,ITA3,60
1591,FC Crotone,ITA2,60
1592,SEF Torres 1903,ITA4,60
1593,Genoa CFC Youth,ITAJ,60
1594,AC Milan Youth,ITAJ,60
1595,US Catanzaro,ITA3,60
1596,Arezzo Giovanili,ITA4,60
1597,Sangiovannese 1927,ITA4,60
1598,Parma,ITA1,60
1599,US Massese 1919,ITA4,60
1600,Pro Patria Youth,ITAJ,60
1601,Carrarese Calcio 1908,ITA3,66
1602,VF Colligiana,ITA4,66
1603,Modena Primavera,ITAJ,66
1604,Pro Vercelli Primavera,ITAJ,66
1605,Empoli Under 17,ITAJ,66
1606,Bologna Under 17,ITAJ,66
1607,USD Lavagnese 1919,ITA4,66
1608,Chievo Verona,ITA1,66
1609,FC Francavilla 1931,ITA4,66
1610,Gsd Nuova Tor Tre Teste,ITA4,66
1611,Sampdoria Under 17,ITAJ,66
1612,Feralpisalò Giovanili,ITA4,66
1613,AC Este 1920,ITA4,66
1614,Grosseto Primavera,ITAJ,66
1615,Feralpisalò,ITA3,66
1616,US Folgore Caratese,ITA4,66
1617,Cagliari Under 17,ITAJ,66
1618,US Carrarese Berretti,ITAJ,66
1619,Inter Under 17,ITAJ,66
1620,AC Reggiana 1919,ITA3,66
1621,Borgosesia Calcio,ITA4,66
1622,Brescia Under 17,ITAJ,66
1623,Cesena Primavera,ITAJ,72
1624,Milan Under 17,ITAJ,72
1625,Monza Giovanili,ITA4,72
1626,Sassuolo Under 17,ITAJ,72
1627,Salernitana Primavera,ITAJ,72
1628,Virtus Entella Primavera,ITAJ,72
1629,Frosinone Primavera,ITAJ,72
1630,Vicenza Primavera,ITAJ,72
1631,Atalanta BC U17,ITA4,72
1632,Chievo Under 17,ITAJ,72
1633,ASD Chieri Calcio,ITA4,72
1634,Prato Youth,ITAJ,72
1635,Udinese Under 17,ITAJ,72
1636,Benevento Primavera,ITAJ,72
1637,Torino FC,ITA1,72
1638,Alessandria Youth,ITAJ,72
1639,Brescia Calcio,ITA2,78
1640,US Poggibonsi,ITA4,78
1641,Genoa Under 17,ITAJ,78
1642,Parma Primavera,ITAJ,78
1643,Bari Primavera,ITAJ,78
1644,Calcio Montebelluna 1909,ITA4,78
1645,Atalanta Youth,ITAJ,78
1646,Crotone Primavera,ITAJ,78
1647,Palermo Juniores,ITAJ,78
1648,SPAL Primavera,ITAJ,78
1649,Torino FC Youth,ITAJ,78
1650,AS Cittadella,ITA2,78
1651,Bologna FC 1909,ITA1,78
1652,Livorno Primavera,ITAJ,78
1653,Paganese Calcio 1926,ITA3,84
1654,AlbinoLeffe Primavera,ITAJ,84
1655,UC Sampdoria,ITA1,84
1656,Hellas Verona Primavera,ITAJ,84
1657,Sassuolo Primavera,ITAJ,84
1658,Cagliari Calcio,ITA1,84
1659,Juventus Under 17,ITAJ,84
1660,Atalanta BC,ITA1,84
1661,Spezia Primavera,ITAJ,84
1662,Fiorentina Primavera,ITAJ,90
1663,Perugia Primavera,ITAJ,90
1664,Atalanta Primavera,ITAJ,90
1665,Torino Primavera,ITAJ,90
1666,Bologna Primavera,ITAJ,90
1667,Pescara Primavera,ITAJ,90
1668,Milan Primavera,ITAJ,90
1669,AC Milan,ITA1,90
1670,Udinese Primavera,ITAJ,90
1671,Empoli Primavera,ITAJ,90
1672,Udinese Calcio,ITA1,90
1673,SS Lazio,ITA1,90
1674,Cagliari Primavera,ITAJ,90
1675,Roma Primavera,ITAJ,90
1676,SSC Napoli,ITA1,90
1677,Lazio U19,ITAJ,90
1678,ACF Fiorentina,ITA1,90
1679,Chievo Primavera,ITAJ,90
1680,FC Inter,ITA1,90
1681,AS Roma,ITA1,90
1682,Sampdoria Primavera,ITAJ,90
1683,Juventus Primavera,ITAJ,90
1684,Napoli Primavera,ITAJ,90
1685,Juventus FC,ITA1,90
1686,Inter Youth,ITAJ,90
1687,Brescia Primavera,ITAJ,90
1688,Genoa Primavera,ITAJ,90
1689,Genoa CFC,ITA1,90
1690,FC Inter Primavera,ITAJ,90
1691,Ascoli Picchio Primavera,ITAJ,90
