,team1,league_team1,season
369,Pro Livorno Sorgenti Giovanili,ITA4,6
370,Pro Pontedecimo Calcio,ITA4,6
371,Belluno Juniores,ITAJ,6
372,Roccella Youth,ITAJ,6
373,SSD ARL Masi Torello Voghiera,ITA4,6
374,SSD Axys Zola,ITA4,6
375,SSD Centobuchi,ITA4,6
376,SSD Insieme Formia,ITA4,6
377,SSD Jesina Calcio Youth,ITAJ,6
378,SSD Mapello,ITA4,6
379,SSD Marsala Calcio,ITA4,6
380,SSD Ottavia,ITA4,6
381,SSD Puteolana 1902,ITA4,6
382,SSD Real Teramo,ITA4,6
383,SSD Sambenedettese,ITA4,6
384,SSD Sampierana,ITA4,6
385,SSD Teramo Calcio,ITA4,6
386,SSD US Ancona,ITA4,6
387,SSDRL Marignanese Calcio,ITA4,6
388,SSV Brixen,ITA4,6
389,Sambenedettese Giovanili,ITA4,6
390,Sambenedettese Juniores,ITAJ,6
391,Sambonifacese Youth,ITAJ,6
392,Sammaurese Youth,ITAJ,6
393,Sampolese Calcio,ITA4,6
394,San Giorgio 1926,ITA4,6
395,San Marco,ITA4,6
396,San Maurizio Canavese,ITA4,6
397,SSCD Granata 1924,ITA4,6
398,Rocca Priora,ITA4,6
399,SSC Giugliano,ITA4,6
400,Rodengo Saiano,ITA4,6
401,Rotonda Calcio,ITA4,6
402,SC Spezia,ITA4,6
403,SCD Rivasamba,ITA4,6
404,SFF Atletico,ITA4,6
405,SPAL Under 18,ITAJ,6
406,SPD Amiternina,ITA4,6
407,SS Atletico Lazio,ITA4,6
408,SS Cittadella Vis Modena,ITA4,6
409,SS Città di Campobasso,ITA3,6
410,SS Dellese,ITA4,6
411,SS Matelica Calcio,ITA4,6
412,SS Matelica Calcio 1921,ITA3,6
413,SS Monospolis,ITA4,6
414,SS Racing Club Roma,ITA4,6
415,SS Tritium Youth,ITAJ,6
416,SS Vitulazio,ITA4,6
417,Bellaria Igea Marina Giovanili,ITA4,6
418,Junior Biellese,ITA4,6
419,ASD Città di Verbania,ITA4,6
420,ASD Pisoniano,ITA4,6
421,ASD Podgora Calcio 1950,ITA4,6
422,ASD Polisportiva Grotta 1984,ITA4,6
423,ASD Polisportiva Virtus Verona,ITA4,6
424,ASD Pontassieve Calcio,ITA4,6
425,ASD Potenza Picena,ITA4,6
426,ASD Racing Club,ITA4,6
427,ASD Real Giulianova,ITA4,6
428,ASD Piazzano,ITA4,6
429,ASD Real Siracusa Belvedere,ITA4,6
430,ASD Riccione 1919,ITA4,6
431,ASD Rinascita Refugees,ITA4,6
432,ASD Romano Calcio,ITA4,6
433,ASD SS Sacilese,ITA4,6
434,ASD Salsomaggiore Calcio,ITA4,6
435,ASD San Marco Juventina,ITA4,6
436,ASD San Marco Servigliano,ITA4,6
437,ASD Sanluri Calcio,ITA4,6
438,ASD Reggiomediterranea,ITA4,6
439,ASD Petrignano,ITA4,6
440,ASD Perugia Calcio,ITA4,6
441,ASD Parmonval,ITA4,6
442,ASD Gioventù Martina,ITA4,6
443,ASD Giulianova,ITA4,6
444,ASD K-Sport Montecchio,ITA4,6
445,ASD Katane Soccer,ITA4,6
446,ASD Lavorate Calcio U19,ITA4,6
447,ASD Lemine Almenno Calcio,ITA4,6
448,ASD Liberty Monopoli,ITA4,6
449,ASD Lumignacco,ITA4,6
450,ASD Lupa Castelli Romani,ITA4,6
451,ASD Manzanese Calcio,ITA4,6
452,ASD Martinsicuro Calcio,ITA4,6
453,ASD Morolo Juniores,ITAJ,6
454,ASD Nestor Calcio,ITA4,6
455,ASD Nuova Lodigiani 2005,ITA4,6
456,ASD Nuova Rogliano 2016,ITA4,6
457,ASD Omnia Bitonto,ITA4,6
458,ASD Ostuni 1945,ITA4,6
459,ASD Santhià Calcio,ITA4,6
460,ASD Futball Cava Ronco,ITA4,6
461,ASD Sanvitese,ITA4,6
462,ASD Sassoferrato Genga,ITA4,6
463,Albissola Giovanili,ITA4,6
464,Alessandria Primavera,ITAJ,6
465,Alessandria Under 17,ITAJ,6
466,Alfonsine Giovanili,ITA4,6
467,Alpignano Calcio,ITA4,6
468,Alpignano Juniores,ITAJ,6
469,AltoVicentino Juniores,ITAJ,6
470,Albissola 2010,ITA3,6
471,Ancona Matelica,ITA3,6
472,Antonio Toma Maglie,ITA4,6
473,Aprilia Calcio,ITA4,6
474,Arbus Calcio,ITA4,6
475,Arconatese Giovanili,ITA4,6
476,Arezzo Berretti,ITAJ,6
477,Art. Ind. Larcianese,ITA4,6
478,Arzachena Giovanili,ITA4,6
479,Anconitana Juniores,ITAJ,6
480,Albenga 1928,ITA4,6
481,Acireale Calcio,ITA4,6
482,Acerrana 1926,ITA4,6
483,ASD Savignanese,ITA4,6
484,ASD Settore Giovanile Novese,ITA4,6
485,ASD Spezia Calcio 2008,ITA4,6
486,ASD Tiger Brolo,ITA4,6
487,ASD Tor Sapienza,ITA4,6
488,ASD Torrecuso Calcio,ITA4,6
489,ASD Torrese,ITA4,6
490,ASD Trebisacce,ITA4,6
491,ASD Unione Calcio Riccione,ITA4,6
492,ASD Valdivara Cinque Terre,ITA4,6
493,ASD Venezia Nettuno Lido,ITA4,6
494,ASD Villalba Ocres Moca 1952,ITA4,6
495,ASD Villarosa Calcio,ITA4,6
496,ASD Virtus Teramo,ITA4,6
497,AV Ercolanese 1924,ITA4,6
498,AV Herculaneum 1924,ITA4,6
499,AVC Vogherese,ITA4,6
500,Accademia Calcio Vittuone,ITA4,6
501,ASD Sarzanese Calcio,ITA4,6
502,ASD Forza E Costanza 1905,ITA4,6
503,ASD Fondi Calcio,ITA4,6
504,ASD Figline 1965,ITA4,6
505,AC Pisa Primavera,ITAJ,6
506,AC Pro Piacenza CRDD Arsenal,ITA4,6
507,AC Rolo,ITA4,6
508,AC San Zeno Naviglio,ITA4,6
509,AC Santostefanese,ITA4,6
510,AC Vallecamonica,ITA4,6
511,ACD Aquanera,ITA4,6
